drugId,HRCHY_1,HRCHY_2,HRCHY_3,HRCHY_4,HRCHY_5,HRCHY_6
13,Unidentified pharmacological activity,(-)-thalimonine,,,,
1060,Unidentified pharmacological activity,"SDX-13, SynDermix",,,,
1470,Unidentified pharmacological activity,ammonium lactate,,,,
1570,Unidentified pharmacological activity,andrographolide,,,,
2684,Unidentified pharmacological activity,BTG-1640,,,,
2760,Unidentified pharmacological activity,lusupultide,,,,
2859,Unidentified pharmacological activity,benproperine,,,,
2890,Unidentified pharmacological activity,berberine,,,,
2991,Unidentified pharmacological activity,boanmycin,,,,
3230,Unidentified pharmacological activity,CAM,,,,
3262,Unidentified pharmacological activity,CB-2431,,,,
3348,Unidentified pharmacological activity,"Hoodia extracts, Phytopharm",,,,
4381,Unidentified pharmacological activity,cefepime,,,,
4528,Unidentified pharmacological activity,"chiral methadones, SAF",,,,
4576,Unidentified pharmacological activity,choline chloride,,,,
5365,Unidentified pharmacological activity,defibrotide,,,,
5644,Unidentified pharmacological activity,diethylhomospermine,,,,
5723,Unidentified pharmacological activity,dimethyl malonate,,,,
5803,Unidentified pharmacological activity,"docosahexaenoic acid, Martek",,,,
5835,Unidentified pharmacological activity,EL-530,,,,
6813,Unidentified pharmacological activity,ASIS,,,,
7039,Unidentified pharmacological activity,vepoloxamer,,,,
7432,Unidentified pharmacological activity,fomepizole,,,,
7710,Unidentified pharmacological activity,GR-270773,,,,
8453,Unidentified pharmacological activity,hemin,,,,
8709,Unidentified pharmacological activity,hypericin,,,,
8876,Unidentified pharmacological activity,IMX-150,,,,
8988,Unidentified pharmacological activity,IsletCell,,,,
9785,Unidentified pharmacological activity,JI-36,,,,
10877,Unidentified pharmacological activity,levodropropizine,,,,
11161,Unidentified pharmacological activity,MAb PR1,,,,
11440,Unidentified pharmacological activity,MGN-3,,,,
11690,Unidentified pharmacological activity,mafenide acetate,,,,
11701,Unidentified pharmacological activity,magnolol,,,,
11741,Unidentified pharmacological activity,mangafodipir,,,,
12440,Unidentified pharmacological activity,eprodisate disodium,,,,
12491,Unidentified pharmacological activity,neurotropin,,,,
12539,Unidentified pharmacological activity,NLCPQ-1,,,,
13034,Unidentified pharmacological activity,nimorazole,,,,
13214,Unidentified pharmacological activity,arundic acid,,,,
13421,Unidentified pharmacological activity,oleoyl-estrone,,,,
13796,Unidentified pharmacological activity,PD-161374,,,,
13901,Unidentified pharmacological activity,VLTS-934,,,,
14404,Unidentified pharmacological activity,lemuteporfin,,,,
14459,Unidentified pharmacological activity,pimonidazole,,,,
14623,Unidentified pharmacological activity,pleconaril,,,,
15701,Unidentified pharmacological activity,rimantadine,,,,
15963,Unidentified pharmacological activity,glyminox gel,,,,
16801,Unidentified pharmacological activity,Synsorb Pk,,,,
16954,Unidentified pharmacological activity,selenomethionine,,,,
17225,Unidentified pharmacological activity,"stannous compounds, Procter",,,,
17833,Unidentified pharmacological activity,valrocemide,,,,
18319,Unidentified pharmacological activity,tocotrienol,,,,
19230,Unidentified pharmacological activity,sitamaquine,,,,
19460,Unidentified pharmacological activity,carisbamate,,,,
19461,Unidentified pharmacological activity,YKP-10A,,,,
